REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021/02/01 00:30:00,5981.46,31.25,TRADE
QLD1,2021/02/01 01:00:00,5892.93,31.84,TRADE
QLD1,2021/02/01 01:30:00,5770.95,29.65,TRADE
QLD1,2021/02/01 02:00:00,5740.73,33.14,TRADE
QLD1,2021/02/01 02:30:00,5657.71,30.66,TRADE
QLD1,2021/02/01 03:00:00,5634.62,30.17,TRADE
QLD1,2021/02/01 03:30:00,5618.71,30.52,TRADE
QLD1,2021/02/01 04:00:00,5596.31,28.34,TRADE
QLD1,2021/02/01 04:30:00,5666.74,33.75,TRADE
QLD1,2021/02/01 05:00:00,5745.3,34.80,TRADE
QLD1,2021/02/01 05:30:00,5906.74,37.36,TRADE
QLD1,2021/02/01 06:00:00,6008.93,41.13,TRADE
QLD1,2021/02/01 06:30:00,6248.12,38.77,TRADE
QLD1,2021/02/01 07:00:00,6465.86,37.66,TRADE
QLD1,2021/02/01 07:30:00,6689.85,34.39,TRADE
QLD1,2021/02/01 08:00:00,6650.75,34.41,TRADE
QLD1,2021/02/01 08:30:00,6654.57,34.13,TRADE
QLD1,2021/02/01 09:00:00,6617.98,34.19,TRADE
QLD1,2021/02/01 09:30:00,6574.91,37.07,TRADE
QLD1,2021/02/01 10:00:00,6496.7,34.71,TRADE
QLD1,2021/02/01 10:30:00,6449.46,35.27,TRADE
QLD1,2021/02/01 11:00:00,6370.08,34.67,TRADE
QLD1,2021/02/01 11:30:00,6291.04,34.73,TRADE
QLD1,2021/02/01 12:00:00,6322.02,33.88,TRADE
QLD1,2021/02/01 12:30:00,6387.18,35.12,TRADE
QLD1,2021/02/01 13:00:00,6398.62,34.83,TRADE
QLD1,2021/02/01 13:30:00,6453.44,37.33,TRADE
QLD1,2021/02/01 14:00:00,6538.03,38.42,TRADE
QLD1,2021/02/01 14:30:00,6662.49,36.08,TRADE
QLD1,2021/02/01 15:00:00,6761.34,34.82,TRADE
QLD1,2021/02/01 15:30:00,6841.28,33.85,TRADE
QLD1,2021/02/01 16:00:00,7083.98,36.73,TRADE
QLD1,2021/02/01 16:30:00,7333.39,36.89,TRADE
QLD1,2021/02/01 17:00:00,7628.2,37.86,TRADE
QLD1,2021/02/01 17:30:00,7824.6,43.03,TRADE
QLD1,2021/02/01 18:00:00,7971.98,43.62,TRADE
QLD1,2021/02/01 18:30:00,8018.88,41.27,TRADE
QLD1,2021/02/01 19:00:00,8143.82,46.66,TRADE
QLD1,2021/02/01 19:30:00,8167.8,46.30,TRADE
QLD1,2021/02/01 20:00:00,8018.01,41.40,TRADE
QLD1,2021/02/01 20:30:00,7796.13,38.11,TRADE
QLD1,2021/02/01 21:00:00,7570.46,36.55,TRADE
QLD1,2021/02/01 21:30:00,7339.11,34.75,TRADE
QLD1,2021/02/01 22:00:00,7083.51,33.26,TRADE
QLD1,2021/02/01 22:30:00,6896.87,35.36,TRADE
QLD1,2021/02/01 23:00:00,6734.33,33.34,TRADE
QLD1,2021/02/01 23:30:00,6454.31,32.86,TRADE
QLD1,2021/02/02 00:00:00,6257.75,32.21,TRADE
QLD1,2021/02/02 00:30:00,6075.2,35.08,TRADE
QLD1,2021/02/02 01:00:00,5965.48,36.28,TRADE
